b1bpc;b2bpc;b3bpc
2,30;2,30;2,35
2,30;2,35;2,39
2,35;2,39;2,49
2,39;2,49;2,54
2,49;2,54;2,36
2,54;2,36;2,36
2,36;2,36;2,32
2,36;2,32;2,45
2,32;2,45;2,40
2,45;2,40;2,37
2,40;2,37;2,26
2,37;2,26;2,27
2,26;2,27;2,34
2,27;2,34;2,46
2,34;2,46;2,58
2,46;2,58;2,64
2,58;2,64;2,54
2,64;2,54;2,63
2,54;2,63;2,71
2,63;2,71;2,70
2,71;2,70;2,86
2,70;2,86;2,75
2,86;2,75;2,55
2,75;2,55;2,67
2,55;2,67;2,82
2,67;2,82;2,79
2,82;2,79;2,93
2,79;2,93;3,08
2,93;3,08;2,83
3,08;2,83;3,00
2,83;3,00;3,12
3,00;3,12;3,17
3,12;3,17;3,36
3,17;3,36;3,52
3,36;3,52;3,46
3,52;3,46;3,55
3,46;3,55;3,54
3,55;3,54;3,54
3,54;3,54;3,62
3,54;3,62;3,73
3,62;3,73;3,36
3,73;3,36;3,43
3,36;3,43;3,59
3,43;3,59;3,67
3,59;3,67;3,81
3,67;3,81;3,77
3,81;3,77;3,57
3,77;3,57;3,63
3,57;3,63;3,75
3,63;3,75;3,89
3,75;3,89;4,10
3,89;4,10;4,23
4,10;4,23;3,78
4,23;3,78;3,94
3,78;3,94;3,91
3,94;3,91;3,83
3,91;3,83;3,92
3,83;3,92;3,79
3,92;3,79;3,27
